t,Fx,Fy,Fz,Mx,My,Mz
0.0,-5.474991388538646,-2.743662745463685,-3.681999511823618,0.0058489165793368615,0.18366252713974204,0.02596625911245248
0.0014479199562120214,-5.352421827534007,-2.6324948377488413,-3.588009662733042,0.0059629141877600945,0.1787424915390798,0.024972204511856052
0.002895839912195894,-5.364961214283275,-2.5338276929734507,-3.5029543114757176,0.00607092339202855,0.17500636809642997,0.02293724792251489
0.004343759868407915,-4.8944688513072006,-2.8535908765672007,-3.339329547986948,0.003012911748440007,0.1663644992667028,0.02436425389895341
0.005791679824391788,-4.5025878622324935,-2.8834485120652475,-3.5540922356700535,0.004347919818312863,0.15146356159027305,0.021623280292247745
0.00723959978060381,-4.308224029758739,-2.4219903058884897,-3.703021831617319,0.008239923376888971,0.1456675314265081,0.02098421978006265
0.008687519736587683,-4.340535707691478,-2.6423806257127085,-3.6995137406444187,0.006878923025281171,0.14332255059059348,0.019452268650626155
0.010135439692799703,-3.4691217615397445,-3.208992392527894,-3.7498114777660008,0.0037009179185340203,0.1269885533409902,0.02189823838124177
0.011629516487412688,-3.9480248167307845,-3.0861653394578257,-4.024949855909311,0.006383933458776215,0.12642754697378364,0.015776286294554683
0.01307743644362471,-3.114907331684398,-2.84289923380597,-4.120898075208627,0.008590921160132627,0.10829645478304113,0.016724283268546077
0.014525356399608582,-3.43746430418806,-3.170502573954896,-4.487558193311655,0.00894891410723422,0.11409250729854788,0.015748229270671817
0.015973276355820604,-3.706303663471507,-3.4322313375352183,-4.79715091715809,0.009431925002784471,0.11216149562175955,0.011541270112489673
0.017421196311804478,-3.448800630787181,-3.199426562297181,-5.131265945539438,0.013066914264411669,0.10894848489340032,0.012984250133728
0.018869116268016496,-3.2530172540934554,-4.126883418071107,-5.261371917829477,0.008162923489064913,0.1035544359045812,0.012787199040745708
0.02031703622400037,-2.9931369497569076,-4.422102839457826,-5.530548400983774,0.008165922347755174,0.09340553068693365,0.01086926313290498
0.02176395277056786,-2.9064109995158187,-4.285814196574525,-5.99565059672352,0.012102939520330171,0.08962045692976202,0.00996230581948659
0.02321187272677988,-3.012958116749095,-4.92966738413556,-6.029285736188852,0.008279919956178407,0.09339350544985021,0.010664304179941627
0.024659792682763755,-3.4872377588541976,-5.036842734324769,-6.334347076520883,0.009618925262541513,0.10087847047622885,0.008668251728509876
0.026107712638975777,-2.6424258425028793,-5.287253291117982,-6.972393341169321,0.012284927401990633,0.08426641010816778,0.010555265864228221
0.02755563259495965,-2.732595510700511,-5.939579874980287,-6.931442566022836,0.007954921905250292,0.08500249021824087,0.009940203672145816
0.02900355255117167,-2.995839662769603,-6.036366374003724,-7.15725833903309,0.008794926438779573,0.09236642801340307,0.010443211926018211
0.030451472507155544,-2.7187914325983993,-6.174196154582337,-7.790685958967172,0.01213091645047162,0.08519843303735937,0.010174279494081947
0.031899392463367565,-2.1700661852152816,-6.710639864909486,-7.736805267438852,0.008529926050753336,0.06849349373157705,0.008530274426435443
0.03334731241935144,-2.612777657726573,-6.064206034648255,-8.092271156415903,0.014869926829189997,0.07798150264795507,0.007796250676607104
0.03479523237556346,-3.06995040915327,-5.782050997721986,-8.453942604169809,0.01895592953667138,0.08937555634554113,0.00790123308250806
0.03624315233154733,-3.1589508726389877,-6.049399287211732,-8.097764320478403,0.014967922453136186,0.08925546043689932,0.006834265237544985
0.037737229126160315,-2.2475161030085555,-6.301718623149232,-8.176870651349985,0.013982920307965021,0.06898845815237249,0.007740259563421221
0.039185149082372334,-2.003243990162181,-6.296038538920716,-8.243303604230844,0.014482923183889131,0.06283449464615072,0.007605236416553469
0.04063306903835621,-2.3448935224802963,-6.024975687968568,-7.8534730149364105,0.013595925975889902,0.06973744639332975,0.006918300336097689
0.04208098899456823,-2.0796709730418197,-5.809029490458802,-7.7325366211986175,0.014174914319367151,0.06339440205271925,0.006923267079388114
0.04352890895078025,-1.6401795818598737,-6.147828013408021,-7.567859954938852,0.011057924811095934,0.05011942693169798,0.005654281398152323
0.044976828906764126,-1.7546995355875958,-5.360048205363587,-7.328191108808481,0.014491917897314768,0.04482750677641119,0.0015062935853948313
0.04642374545333162,-1.639446563938426,-4.774065882670716,-7.25990898142811,0.01769892159506772,0.04301247828777517,0.0019032884592761713
0.047871665409543636,-1.9044756366999616,-5.16212120722516,-6.800151176557504,0.01226291652426217,0.04686646246488775,0.0007262960279931742
0.04931958536552751,-1.46718568346815,-4.4364480085252085,-6.41072685252186,0.01433593254193757,0.03174953990753378,-0.0016457723250041289
0.050767505321739535,-0.20751089594678773,-4.333422572123841,-6.013325042829477,0.012460923154206018,0.003986470300216333,-0.0003017797862539572
0.052262585525768894,-0.38007683298902406,-4.724181086528138,-5.5412829590892425,0.006893935945183972,0.008905472132820742,0.000176236426328631
0.05371050548198092,-0.4937610103877057,-3.908911139476136,-5.310772247419321,0.01052792217239831,0.006043466638285772,-0.0027477094699988646
0.05515742202854841,-0.32456655047254457,-3.244113356578187,-5.006079979047739,0.01273092660710309,-0.00108151054803644,-0.004354755932594327
0.05660534198453228,0.13685601212663756,-3.784152895915345,-4.36112100611683,0.005144917737991551,-0.010269559089582308,-0.003237764889503507
0.058053261940744304,0.40415828683061705,-3.2616337842820444,-4.042034454450571,0.0063379196043321885,-0.016870516453426226,-0.0033697640319714827
0.05950118189672818,0.3673515842167865,-3.007292181956605,-3.729122943983042,0.0059059312160322465,-0.019106582839529856,-0.004952771196270971
0.060949101852940196,0.6224418208806048,-2.7348045415757456,-3.07254964838978,0.003311916586310605,-0.024780499849956377,-0.00470080932428935
