t,Fx,Fy,Fz,Mx,My,Mz
8.084039034484466,0.42751317479295836,0.6824987821699819,0.9053036497974758,-0.0015790752542009555,-0.015479502369206293,-0.0026237518323014063
8.085484602668624,0.4545194432942401,0.6965353183867178,0.8785394953632717,-0.0013240917061259948,-0.01527056014959131,-0.002196798639501123
8.086930170852556,0.446617536327077,0.4776154451491079,0.8594388293171291,-0.0025670799833526813,-0.014953539807837351,-0.0020997254905650896
8.088375739036714,0.44116061188860045,0.5243401222349844,0.7329484747791652,-0.0014470723864426814,-0.01466149567488943,-0.002036745267118005
8.089821307220644,0.38871472336931334,0.5221121006132803,0.6947933958912258,-0.0012180862423768245,-0.013204558853547915,-0.0019438048621068281
8.091266875404804,0.44632845379991637,0.42260548402087306,0.7257167624378567,-0.002051085833161136,-0.013459551249187334,-0.0013557258789787573
8.092712443588734,0.37113993622942076,0.5471646480681143,0.650665454759634,-0.0007880727235963546,-0.011664479140680178,-0.0013917652686486525
8.094158011772894,0.42480414368791686,0.3677236728789053,0.6056117342853908,-0.0016290886734416686,-0.011207589049380167,-0.0004877122846792025
8.095602578177187,0.31919544198198424,0.49982806969897364,0.5607666300678615,-0.0005040789429834091,-0.00994652985457693,-0.0011587581393668932
8.09704814636112,0.3213092611042987,0.42696711350695704,0.5670184420490627,-0.0010000692155947887,-0.00996057606164728,-0.0011278042366156859
8.098493714545278,0.3133019731251727,0.3453982763411245,0.47724359501842306,-0.0009270749461641513,-0.00922347894732271,-0.0008497387898514551
8.099939282729208,0.33516769864244567,0.36637398530261134,0.47101562489513205,-0.0007620776478936874,-0.00905645741943632,-0.0005047578161011023
8.101384850913368,0.2925410793034564,0.3196545534254751,0.4394246863270168,-0.0008530697260787689,-0.00781761213068281,-0.0003947704826841635
8.102830419097298,0.2362567708699237,0.22856220532672022,0.36254446972850607,-0.0009180718508353435,-0.0067666071546486455,-0.0005407981370935721
8.104275987281456,0.2031902597157489,0.22669109631793116,0.3073877619648342,-0.0005720887739947044,-0.005862503413598879,-0.0004917258193145079
8.105767637334152,0.17840140320940123,0.233708589565917,0.31437223423961447,-0.0005870826017847263,-0.004463533040624006,-9.079657321670476e-05
8.107213205518084,0.11863433577699767,0.20658942986743067,0.16584485043529318,0.0002229133214065827,-0.003745445151369913,-0.0004617255908797068
8.108658773702242,0.15293281533403502,0.28517052460925196,0.16348045338634298,0.0007299285906562604,-0.004392610032599314,-0.00038380462502935354
8.1101043418864,0.17076807477159606,0.13808187772051905,0.22448056210521505,-0.0006010882963230811,-0.003729435716312273,0.0001932693848957735
8.111549910070332,0.10355656602068053,0.053548305523558604,0.1647655295277004,-0.0007410874997070037,-0.002257500876229151,0.00012627562681338366
8.114441046438422,0.1893076226918231,0.2381876402022085,0.13999050129894064,0.0005729318189630307,-0.0035875496533921795,0.0004662088322093206
8.11588661462258,0.07960896947069274,0.09274467755572413,0.23051136006358908,-0.0009470806863894664,-0.0004314976823738652,0.0007512703741540628
8.117332182806512,0.040037266990376574,0.0021348886610708107,0.1399220751667385,-0.0009120722708096706,-0.00018661013666902357,0.00040227586576840457
8.11877775099067,0.1769460962025653,0.08274802495257472,0.17295544613841818,-0.0006200802919259273,-0.002886475164931162,0.0006952028925170618
8.120222317394964,0.18606560685320006,0.26434740353839015,0.21243923176769064,0.0002519268135735787,-0.002900539998453005,0.000773282648866387
8.121667885578896,0.0942746923176776,0.2415368251921377,0.26293151844981955,-0.00023408247500564684,-0.0004825155330113011,0.000882277658080073
8.123113453763054,0.13170235612077819,0.28669616509692286,0.2568496989155178,8.992604568694006e-05,-0.0012665140521935063,0.0009342910925497728
8.124559021946984,0.13028924920244322,0.34068450261370753,0.373427324190176,-0.000321089889555236,-0.0026355302972010212,0.0002312175201823431
8.126004590131144,0.1258128807751666,0.3853898935438833,0.40849774350169943,-0.00028809033676888574,-0.0013645068821719723,0.0008101988787402826
8.127450158315074,0.10000001647157775,0.3647830181242666,0.47677152623180197,-0.0008710842986395561,-0.0004936411124876576,0.0009432713704755026
8.128895726499234,0.21497791268510924,0.5899753265501699,0.5520955847645168,4.0930096358994354e-05,-0.0025035004210880833,0.001297191643958302
8.130341294683165,0.18998377778215514,0.5507945709349356,0.7087916659260158,-0.0012170790170123779,-0.0033295574677399235,0.0005992049554934221
8.131786862867324,0.2862421796528827,0.6381382637144766,0.7381204890156154,-0.0008640770275881492,-0.0049545700741222935,0.0009382645803143698
