t,Fx,Fy,Fz,Mx,My,Mz
0.0,-3.779990928640178,-0.3279534134132014,-0.6417763833311989,0.0013850350854735212,0.1222749960684073,0.015557802942000161
0.001405863922331977,-3.772695081701091,-0.5657890590888606,-1.0687595013884499,0.002694031315837367,0.12310393276445986,0.01606585244496895
0.002811727844663954,-3.689990776052287,-0.7501579078895197,-1.318412602355857,0.0031340281469564276,0.1255919796489966,0.01832483309169842
0.004217591766995932,-4.0143511466882735,-1.0259147438270197,-1.5922105912474587,0.0032120375884513693,0.13090803596012712,0.01708581271430088
0.005623455688884865,-3.6562977008722335,-1.4852295669776545,-1.9053724412230446,0.0024480392215590315,0.12162398668758989,0.016812870007358323
0.007029319611216842,-3.4996304683588058,-1.7955365928870783,-2.332222760131736,0.003340018074009879,0.11723006638519884,0.01652184474130703
0.008435183533548819,-3.581439750661662,-1.956985548422967,-2.6751082543639138,0.00461903037408398,0.11597898724310518,0.014901842650376092
0.009841047455880795,-3.087859409322551,-2.1920142921668635,-3.014208138397117,0.00537602333257006,0.10825199010603548,0.017013838243089448
0.011245937113210583,-2.933046596517375,-2.7597580703956233,-3.1672199372557595,0.002924022356961234,0.09914191189043642,0.014397836950026284
0.012651801035542561,-2.7338203363321334,-3.0794039520484553,-3.342140496185203,0.002186030241642459,0.08761789026491762,0.011066836964689027
0.014057664957874538,-2.19599797057133,-3.3486958297950373,-3.8807800416258766,0.0040700315488319235,0.07687394442789675,0.01219081851502491
0.015463528879763471,-2.423827426900676,-3.495207861350213,-4.3184064034728005,0.006084035242889388,0.07652006420128465,0.009242865916691552
0.016869392802095446,-2.1972170047662765,-3.651897028372918,-4.542216122558494,0.006655028182063563,0.06678697588675142,0.007111867618165742
0.018275256724427424,-1.5690952114961656,-4.003480986045037,-4.39949828427114,0.0036050380198101835,0.05023695650332094,0.006484841656289826
0.0196811206467594,-1.4337349109552415,-3.938040808127557,-4.740936100891013,0.006279033700917228,0.04630505042903543,0.006113914501271973
0.021086984568648336,-1.2033467464349779,-3.891125753806268,-5.138733208587547,0.00929602896699713,0.03401596220963121,0.00270085847785307
0.022492848490980315,-0.4224200420282396,-4.231680944846307,-4.560789406707664,0.0034140172404985266,0.018149901934046753,0.004299877871177922
0.02389871241331229,-0.6681782178781541,-4.157599523947869,-4.869351208618064,0.005941030661557181,0.019282988559533365,0.0018558089699370964
0.025304576335644268,-0.4246636800668748,-3.7305184158546076,-5.155643761566062,0.010537032130156023,0.011451015070159441,0.0007849053557736976
0.026709465992974055,-0.9013699464700731,-3.551303938315545,-5.230610192230125,0.01223103338757561,0.012832963194776779,-0.004329161990083923
0.02811532991530603,-0.06833924578647932,-3.527410581992303,-5.024973690917869,0.011027030738983614,-0.0006249264738666955,-0.0009790969003217118
0.029521193837638005,-0.288420694341472,-3.380281046317254,-4.712216198852439,0.009820029231701357,0.008379947681058651,0.000873831760488282
0.030927057759969987,-0.18466831969242414,-3.3083449157935725,-4.427604496887107,0.0084690359411578,0.0012829474248778876,-0.0014181288812534706
0.03233292168185892,0.067633730898091,-3.276011064932977,-4.180776417663474,0.007048025819454654,-0.0027601101360428277,-0.0003761921931283371
0.03373878560419089,-0.4362909965417894,-3.29177053301159,-4.2002752427367165,0.007066038529370292,0.006381972514171606,-0.001892165552474727
0.035144649526522874,-0.01975848006229719,-3.1572342666846858,-4.2450397614745095,0.00817903606126116,0.0011648585163843688,0.0005099007006509407
0.03655051344885485,-0.031240897645762766,-2.9016323837501155,-3.8138268594054177,0.0069280267683605986,0.002335960332382923,0.0009518360797090633
0.03795637737074378,-0.2555772833726915,-2.61512954561535,-3.353341401031394,0.005654025915060504,0.00879602139637292,0.0014668472189231022
0.039362241293075764,0.07990859223384539,-2.632794454978143,-3.3755849007872536,0.0056400299994091825,0.007160013362843996,0.004709829304717313
0.04076810521540773,-0.15025706814747175,-2.8272004875403987,-3.2163560990599587,0.0034160270346145468,0.008203952627335196,0.0024898277673645122
0.042172994872737526,-0.21374519394855818,-2.500742987082635,-3.1467731599120095,0.005037037747893794,0.006075029548336273,0.0006068215783460243
0.04362464923466593,-0.07515736149769148,-1.8192091736060725,-3.157030880859275,0.00938403056839512,0.0017419991158735808,1.8521290047271433e-06
0.04503051315699791,-0.5925326518915208,-1.9775367531043635,-3.0657837991026833,0.007698029371891482,0.017787966232825525,0.001817832429312001
0.04643637707932988,-1.1003374330900224,-1.5223804268104182,-3.081781685760398,0.010653041395340426,0.02533691498272539,-0.0006191207017974751
0.04784224100121881,-0.27994348334293684,-1.4343724998695002,-2.737596810272117,0.009029029960725767,0.005133046124209171,-0.0008051246792303221
0.04924810492355079,-0.314391153325847,-1.7884498390418635,-2.55665332119741,0.005658026876841052,0.0035939261392545756,-0.0019231907014028923
0.05065299458132362,-0.4518468551538499,-1.2085696014625178,-2.504644215515037,0.00891603445539282,0.007281966794360882,-0.001826156668014993
0.052058858503212554,-0.5984652064941438,-1.1452518257361994,-2.1451929215697243,0.006932025867495997,0.011019974651825136,-0.0017081809152142899
0.05346472242554453,-0.6240399353406938,-1.3293247970801936,-2.108070671966453,0.005616025160048469,0.005542015943754917,-0.004733176009379496
0.05487058634787651,-0.04450769947986921,-1.3312891277534113,-1.8002389077452614,0.0036120201451520758,-0.006299947101544136,-0.00363009124214219
0.056276450270208486,-0.24342920111637434,-1.1968384536964045,-1.7857835892943337,0.004411026927624209,-0.007288978148173088,-0.0065551519315915005
0.05768231419209741,-0.23494245337467512,-0.810494020865594,-1.6586311463622048,0.00598002886304663,-0.006938098642896408,-0.00632814601214992
